Doc ID,Charles Murray and Richard Herrnstein Mentions,Bell Curve Mentions in Abstract,Bell Curve Mentions in Full Text
732032,0,0,0
731763,0,0,0
719432,0,0,0
725182,0,0,0
720238,0,0,0
1269596,0,0,0
734680,0,0,0
734621,0,0,0
763851,0,0,0
720887,0,0,0
725197,0,0,0
725186,0,0,0
752631,0,0,0
712325,0,0,0
1424320,0,0,0
911811,0,0,0
720425,0,0,0
971372,0,0,0
740225,0,0,0
726340,0,0,0
738399,0,0,0
720884,0,0,0
726406,0,0,0
722989,0,0,0
720878,0,0,0
741519,0,0,0
902956,0,0,0
724984,0,0,0
726625,0,0,0
725189,0,0,0
729187,0,0,0
724800,0,0,0
751854,0,0,0
729189,0,0,0
721084,0,0,0
725193,0,0,0
734231,0,0,0
1222336,0,0,0
725188,0,0,0
828269,0,0,0
727895,0,0,0
720111,0,0,0
1109849,0,0,0
726624,0,0,0
725190,0,0,0
797456,0,0,0
976871,0,0,0
727896,0,0,0
727740,0,0,0
738402,0,0,0
730716,0,0,0
725192,0,0,0
726452,0,0,0
1282756,0,0,0
1013441,0,0,0
720106,0,0,0
725185,0,0,0
737064,0,0,0
724174,0,0,0
964119,0,0,0
1498933,0,0,0
725181,0,0,0
719841,0,0,0
720772,0,0,0
720110,0,0,0
725184,0,0,0
1214886,0,0,0
733157,0,0,0
723183,0,0,0
716812,0,0,0
735530,0,0,0
721353,0,0,0
1019856,0,0,0
742898,0,0,0
725196,0,0,0
720886,0,0,0
734262,0,0,0
997674,0,0,0
1529843,0,0,0
719208,0,0,0
718184,0,0,0
726351,0,0,0
907950,0,0,0
725183,0,0,0
722990,0,0,0
725194,0,0,0
749612,0,0,0
725187,0,0,0
726626,0,0,0
815352,0,0,0
726627,0,0,0
831034,0,0,0
720885,0,0,0
725191,0,0,0
828454,0,0,0
725195,0,0,0
