Doc ID,Institute Mentions,Authors Mentions,Concept Mentions (Total),Concept Mentions (Number Of Paragraphs),Length of the Document,Keyword 1 mentions,Keyword 2 mentions,Keyword 3 mentions,Age Of The Concept In Months,Document Type,Career Stage,Year
724174,0,14,4,4,292,5,3,0,,,,
719841,0,4,2,2,44,0,2,0,,,,
720425,0,12,5,5,469,5,7,5,,,,
831034,1,4,1,1,275,4,6,0,,,,
720106,0,2,2,2,56,0,1,1,,,,
720238,0,19,9,8,554,4,4,2,,,,
797456,0,2,1,1,186,0,10,0,,,,
732032,0,3,2,2,180,1,1,0,,,,
1109849,0,2,1,1,131,0,0,1,,,,
997674,0,4,2,2,269,5,2,0,,,,
721084,0,11,4,4,473,2,3,2,,,,
729187,1,2,1,1,45,0,0,0,,,,
1529843,1,4,0,0,303,0,1,0,,,,
723183,0,4,2,2,100,2,2,0,,,,
718184,1,26,10,10,1352,5,19,1,,,,
1019856,0,5,2,2,277,1,3,1,,,,
971372,0,1,1,1,127,1,1,1,,,,
1498933,0,4,1,1,114,0,0,0,,,,
716812,2,30,6,6,847,5,6,2,,,,
734680,0,2,2,2,59,1,0,0,,,,
719208,0,2,4,3,197,1,1,1,,,,
752631,0,6,2,2,153,0,3,1,,,,
726351,0,4,3,2,83,1,3,0,,,,
1269596,0,0,0,0,114,0,3,0,,,,
740225,0,9,4,4,313,2,4,0,,,,
719432,0,2,0,0,69,0,0,0,,,,
726340,0,6,2,2,160,2,3,0,,,,
731763,0,4,2,2,83,0,0,0,,,,
738399,0,4,2,2,306,0,2,0,,,,
726406,0,4,2,2,121,2,1,0,,,,
741519,0,4,2,2,138,0,2,0,,,,
724984,0,4,2,2,143,3,1,0,,,,
729189,0,4,2,2,52,0,2,0,,,,
734231,0,4,2,2,52,0,2,0,,,,
727740,0,4,2,2,133,0,0,1,,,,
730716,0,4,2,2,46,0,2,0,,,,
737064,1,4,2,2,105,1,2,2,,,,
733157,0,4,2,2,86,0,0,0,,,,
735530,0,4,2,2,165,1,5,1,,,,
742898,0,4,2,2,154,1,3,0,,,,
1282756,0,1,0,0,242,2,8,0,,,,
751854,0,2,1,1,21,0,0,0,,,,
722990,0,4,2,2,44,0,2,0,,,,
734621,0,0,1,1,84,1,0,2,,,,
1222336,1,1,0,0,32,0,1,0,,,,
724800,0,0,1,1,68,0,0,0,,,,
712325,3,14,2,2,533,11,4,4,,,,
1214886,0,1,1,1,203,0,0,0,,,,
720878,0,9,5,5,289,2,3,0,,,,
902956,0,2,0,0,163,0,0,0,,,,
720111,0,1,1,1,101,0,0,0,,,,
720110,0,2,1,1,156,0,0,0,,,,
725182,0,4,1,1,187,0,4,0,,,,
720772,0,2,1,1,26,0,1,0,,,,
726452,0,0,0,0,65,0,3,0,,,,
763851,1,4,1,1,519,5,17,1,,,,
1424320,1,1,0,0,211,0,0,2,,,,
738402,0,5,2,2,336,1,0,2,,,,
721353,0,0,0,0,174,2,4,0,,,,
964119,0,14,3,3,505,2,9,0,,,,
749612,0,2,0,0,69,0,0,0,,,,
720885,0,4,2,2,123,0,2,0,,,,
734262,1,2,0,0,89,0,1,1,,,,
907950,0,1,1,1,82,0,0,1,,,,
726624,0,4,1,1,101,1,0,0,,,,
722989,0,2,1,1,43,1,0,0,,,,
720884,0,0,1,1,35,0,1,1,,,,
911811,0,0,0,0,88,1,1,1,,,,
725192,0,5,1,1,168,1,2,0,,,,
1013441,0,2,0,0,84,0,0,0,,,,
720886,0,3,1,1,94,0,2,0,,,,
976871,0,1,1,1,175,0,0,2,,,,
725183,0,7,1,1,421,1,2,2,,,,
725184,0,2,1,1,339,0,8,0,,,,
828269,0,2,0,0,69,0,3,0,,,,
828454,1,2,0,0,60,1,0,0,,,,
725196,0,2,1,1,249,2,2,3,,,,
725190,0,6,1,1,403,0,1,1,,,,
725181,0,1,1,1,49,1,1,0,,,,
815352,0,0,1,1,54,0,0,0,,,,
725197,1,8,2,2,456,1,1,3,,,,
727895,0,0,1,1,138,1,2,2,,,,
725188,0,4,1,1,174,0,1,1,,,,
720887,0,4,2,2,211,5,1,0,,,,
725186,1,2,1,1,97,0,0,0,,,,
725189,0,2,1,1,74,0,1,0,,,,
725193,0,2,1,1,89,0,1,0,,,,
725185,0,1,1,1,30,0,0,0,,,,
725194,0,2,1,1,112,0,2,0,,,,
725187,0,2,1,1,69,1,1,0,,,,
725191,0,2,2,1,83,1,0,0,,,,
725195,0,1,1,1,48,0,0,0,,,,
727896,0,0,0,0,153,1,3,0,,,,
726625,0,2,0,0,155,2,1,0,,,,
726626,0,2,0,0,155,2,1,0,,,,
726627,0,2,0,0,155,2,1,0,,,,
